date,daily_return
2014-05-31,4.813108038914371
2014-06-30,1.8563751831949693
2014-07-31,3.501199040767311
2014-08-31,5.259499536607959
2014-09-30,2.0471054369359365
2014-10-31,1.2726488352027943
2014-11-30,1.8317358892438351
2014-12-31,-2.8445931813427805
2015-01-31,-13.024757804090425
2015-02-28,8.539603960396125
2015-03-31,-7.286202964652233
2015-04-30,19.640880580494425
2015-05-31,-3.6595394736842146
2015-06-30,-5.783183952198023
2015-07-31,5.775764439411057
2015-08-31,-6.809421841541752
2015-09-30,1.7003676470587648
2015-10-31,18.93357433348397
2015-11-30,3.2484802431610893
2015-12-31,2.079116835326511
2016-01-31,-0.7029560201874618
2016-02-29,-7.642040297694708
2016-03-31,8.549528301886822
2016-04-30,-9.704870541372424
2016-05-31,6.276318427912586
2016-06-30,-3.4528301886792345
2016-07-31,10.76802814148914
2016-08-31,1.3761467889907397
2016-09-30,0.2436477549599525
2016-10-31,4.027777777777719
2016-11-30,0.5674232309745841
2016-12-31,3.119814138732191
2017-01-31,4.03926617315733
2017-02-28,-1.0363495746326334
2017-03-31,2.9384182557048444
2017-04-30,3.9477679927118148
2017-05-31,2.0157756354075573
2017-06-30,-1.3029782359679443
2017-07-31,5.469316698099513
2017-08-31,2.84731774415401
2017-09-30,-0.37448174401496503
2017-10-31,11.66599543562894
2017-11-30,1.1901899495071255
2017-12-31,1.6276583105619746
2018-01-31,11.070844049567441
2018-02-28,-1.305125776234095
2018-03-31,-2.6660978991148387
2018-04-30,2.465213103977293
2018-05-31,5.688622754491046
2018-06-30,-0.23269931201936878
2018-07-31,7.575296623060557
2018-08-31,5.891779788838569
2018-09-30,1.8160776284163127
2018-10-31,-6.6101250327883605
2018-11-30,3.819867053646675
2018-12-31,-8.404725403553092
2019-01-31,2.81579206458602
2019-02-28,7.277602221583801
2019-03-31,5.275372668035372
2019-04-30,10.734271663557738
2019-05-31,-5.298621745788646
2019-06-30,8.311772315653322
2019-07-31,1.7243953418930813
2019-08-31,1.1668012034930175
2019-09-30,0.8486870738430019
2019-10-31,3.1216284255196847
2019-11-30,5.586942875078504
2019-12-31,4.174924032236804
2020-01-31,7.9454660748256245
2020-02-29,-4.828761087939803
2020-03-31,-2.654157150793157
2020-04-30,13.632616828355859
2020-05-31,2.254338485575502
2020-06-30,11.055934515688959
2020-07-31,0.7370645177141588
2020-08-31,10.00926784059315
2020-09-30,-6.739679865206449
2020-10-31,-3.736984738268445
2020-11-30,5.729243838593412
2020-12-31,3.9005932638856766
2021-01-31,4.289182627461541
2021-02-28,0.18106570098290753
2021-03-31,1.4588174541699583
2021-04-30,6.96017305000638
2021-05-31,-0.991355381076997
2021-06-30,8.498878564562574
2021-07-31,5.171650055370969
2021-08-31,5.956266891299
2021-09-30,-6.611898767722257
2021-10-31,17.62911464245176
2021-11-30,-0.3105964658343785
2021-12-31,1.733264769049292
2022-01-31,-7.534490960989537
2022-02-28,-3.919866229339497
2022-03-31,3.1861842765821713
2022-04-30,-9.986701696344625
2022-05-31,-2.0358893052752625
2022-06-30,-5.532055761945065
2022-07-31,9.30966008643852
2022-08-31,-6.8640022796894185
2022-09-30,-10.926683749569744
2022-10-31,-0.33061399742378983
2022-11-30,9.91254900271401
2022-12-31,-6.004546523477316
2023-01-31,3.3316654157284686
2023-02-28,0.6496912957507872
2023-03-31,15.588164541736838
2023-04-30,6.576482830385011
2023-05-31,6.876912061446294
2023-06-30,3.699869058132066
2023-07-31,-1.3566688201092525
2023-08-31,-2.4291497975708842
2023-09-30,-3.664266536490146
2023-10-31,7.081551860649227
2023-11-30,12.067078761349892
2023-12-31,-0.7574358026971928
2024-01-31,5.728114030422304
2024-02-29,4.039438603551471
2024-03-31,1.711633304322624
2024-04-30,-7.461019205172081
2024-05-31,4.451236740040576
