date,daily_return
2014-05-31,6.500235515779518
2014-06-30,2.742149491375523
2014-07-31,2.8842014636245805
2014-08-31,7.238493723849304
2014-09-30,-1.716738197424883
2014-10-31,7.185391028185761
2014-11-30,10.111111111111093
2014-12-31,-7.164480322906153
2015-01-31,6.123188405797131
2015-02-28,9.6620006828269
2015-03-31,-3.1444582814445954
2015-04-30,0.5785920925747368
2015-05-31,4.090763822307397
2015-06-30,-3.715075222597475
2015-07-31,-3.284438775510179
2015-08-31,-7.05572040883613
2015-09-30,-2.1638879035119296
2015-10-31,8.339376359680962
2015-11-30,-1.0040160642570517
2015-12-31,-11.0209601081812
2016-01-31,-7.52279635258356
2016-02-29,-0.6984387838948058
2016-03-31,12.743069921390116
2016-04-30,-13.981651376146765
2016-05-31,6.527303754266178
2016-06-30,-4.28514217060475
2016-07-31,8.995815899581627
2016-08-31,1.8426103646832948
2016-09-30,6.520919713531903
2016-10-31,0.460014154281696
2016-11-30,-2.6769989432898655
2016-12-31,4.8136083966703325
2017-01-31,4.765193370165766
2017-02-28,12.88727752142389
2017-03-31,4.875912408759087
2017-04-30,-0.027839643652527446
2017-05-31,6.349206349206327
2017-06-30,-5.708300602251848
2017-07-31,3.2490974729241895
2017-08-31,10.274341043571834
2017-09-30,-6.024390243902388
2017-10-31,9.680768232546022
2017-11-30,1.6564126833885418
2017-12-31,-1.513035381750416
2018-01-31,-1.0635783502717433
2018-02-28,6.378404204491139
2018-03-31,-5.793846844823669
2018-04-30,-1.501787842669855
2018-05-31,13.06873184898354
2018-06-30,-0.9417808219177592
2018-07-31,2.787381158167568
2018-08-31,19.634223249947414
2018-09-30,-0.82586540151115
2018-10-31,-3.047484053862548
2018-11-30,-18.4027777777778
2018-12-31,-11.668533034714478
2019-01-31,5.502028397565972
2019-02-28,4.037490987743331
2019-03-31,9.702009702009718
2019-04-30,5.643293324910537
2019-05-31,-12.75662746661348
2019-06-30,13.04546493031744
2019-07-31,7.639450282942573
2019-08-31,-2.0090123920390446
2019-09-30,7.2810883310979735
2019-10-31,11.073405965350936
2019-11-30,7.428847081524292
2019-12-31,9.878760664571162
2020-01-31,5.4079825636834
2020-02-29,-11.682605324373242
2020-03-31,-6.97980684811238
2020-04-30,15.541922290388532
2020-05-31,8.223281143635042
2020-06-30,14.731412756321571
2020-07-31,16.513157894736864
2020-08-31,21.4379823075475
2020-09-30,-10.25263484190948
2020-10-31,-6.001208876608278
2020-11-30,9.360646702186216
2020-12-31,11.457370852582937
2021-01-31,-0.5501544954405246
2021-02-28,-8.108517732646225
2021-03-31,0.7339600857661388
2021-04-30,7.62177650429805
2021-05-31,-5.210710482275949
2021-06-30,9.910922076879846
2021-07-31,6.498247663551449
2021-08-31,4.092965857671649
2021-09-30,-6.803661990384047
2021-10-31,5.865724381625403
2021-11-30,10.347129506008045
2021-12-31,7.422867513611631
2022-01-31,-1.571211353269153
2022-02-28,-5.526948163405432
2022-03-31,5.747335271317833
2022-04-30,-9.713074852528504
2022-05-31,-5.588328575959389
2022-06-30,-8.142972319269038
2022-07-31,18.863370392042178
2022-08-31,-3.255184296350999
2022-09-30,-12.097697493957549
2022-10-31,10.95513748191026
2022-11-30,-3.462892917699212
2022-12-31,-12.227251232858205
2023-01-31,11.052104979604383
2023-02-28,2.1623120105343396
2023-03-31,11.864866698324427
2023-04-30,2.8987265009095875
2023-05-31,4.461338991041908
2023-06-30,9.433004231311703
2023-07-31,1.2785482291075345
2023-08-31,-4.367523542886243
2023-09-30,-8.86783414062916
2023-10-31,-0.25699433444316133
2023-11-30,11.231480939275063
2023-12-31,1.3582521716241303
2024-01-31,-4.222718537370785
2024-02-29,-1.9793926247288485
2024-03-31,-5.12863070539421
2024-04-30,-0.6706321436901863
2024-05-31,7.661598074326292
