date,inflation_rate,inflation_pct_change
1968-01-31,3.65186106,
1968-02-29,3.673819411,0.6012920710625425
1968-03-31,4.142163975,12.748165100268704
1968-04-30,4.155828095,0.3298787803300396
1968-05-31,4.088245437,-1.6262139928576613
1968-06-30,4.545569347,11.186312491443484
1968-07-31,4.753076334,4.565038417837619
1968-08-31,4.9466066,4.071684366094175
1968-09-30,4.948246979,0.0331617032169218
1968-10-31,5.182592347,4.7359270665862985
1968-11-30,5.399387944,4.183149715132317
1968-12-31,5.706347843,5.6850869428840545
1969-01-31,5.746196961,0.6983296338810341
1969-02-28,5.749956071,0.06541909415067604
1969-03-31,6.125157849,6.525298165186633
1969-04-30,6.505620421,6.211473751033436
1969-05-31,6.780633974,4.227322456629379
1969-06-30,6.375966005,-5.967996068681458
1969-07-31,6.389268621,0.20863687148846566
1969-08-31,6.414746498,0.39876046088060946
1969-09-30,6.834758299,6.547597806568839
1969-10-31,6.560106336,-4.018459043975042
1969-11-30,6.437390535,-1.87063737559513
1969-12-31,6.402163808,-0.5472205982916867
1970-01-31,6.592370014,2.97096749949326
1970-02-28,7.053805927,6.99954511078813
1970-03-31,6.993096123,-0.8606673422587363
1970-04-30,6.817838113,-2.5061576005452557
1970-05-31,6.947734731,1.905246440984243
1970-06-30,7.151974844,2.939664810297149
1970-07-31,7.00787567,-2.0148165666562523
1970-08-31,7.114872285,1.5268052693634626
1970-09-30,7.081263039,-0.47238017287895007
1970-10-31,7.057638255,-0.33362387288662365
1970-11-30,7.327620064,3.8253846293231586
1970-12-31,7.342681298,0.2055405966528534
1971-01-31,7.014858012,-4.464626376869873
1971-02-28,6.329604979,-9.768594486556525
1971-03-31,5.50160847,-13.08132990521651
1971-04-30,5.306250794,-3.550919282338527
1971-05-31,5.060279237,-4.635505680925056
1971-06-30,5.239199701,3.5357824266250226
1971-07-31,5.165044197,-1.4153975460382995
1971-08-31,4.913620811,-4.867787697654813
1971-09-30,4.672385308,-4.909526238979456
1971-10-31,4.376576593,-6.3310000246238225
1971-11-30,3.953153899,-9.674746574234128
1971-12-31,3.677258309,-6.9791259599023325
1972-01-31,3.728280469,1.387505465012473
1972-02-29,3.841502967,3.036855701748431
1972-03-31,4.057916253,5.633557694971847
1972-04-30,3.971403024,-2.1319619136063173
1972-05-31,3.863863418,-2.7078492248234665
1972-06-30,3.488589959,-9.712389347195094
1972-07-31,3.467340855,-0.6091029398620051
1972-08-31,3.366129082,-2.9190026949340697
1972-09-30,3.1247262,-7.171527773277475
1972-10-31,3.331141241,6.605860091037741
1972-11-30,3.268535943,-1.8793948821337336
1972-12-31,3.147816809,-3.6933702460435147
1973-01-31,2.842802671,-9.689704214296302
1973-02-28,2.881142745,1.348671660932177
1973-03-31,2.929374136,1.6740368412395235
1973-04-30,3.031703085,3.4932017642419932
1973-05-31,3.175423207,4.740573795339187
1973-06-30,3.098743668,-2.4147817157399776
1973-07-31,3.013319714,-2.7567286343221364
1973-08-31,3.322713188,10.267528950298432
1973-09-30,3.944607922,18.716473520675116
1973-10-31,4.765238145,20.803847663113828
1973-11-30,4.927794502,3.4112955544638446
1973-12-31,5.30805948,7.716737738265356
1974-01-31,5.845776926,10.130207621561915
1974-02-28,6.291538116,7.625354091385317
1974-03-31,6.816162733,8.33857488148768
1974-04-30,7.104721156,4.233443864286923
1974-05-31,7.728315605,8.777184006347216
1974-06-30,8.616369341,11.490909292387785
1974-07-31,9.526994824,10.568552100789063
1974-08-31,10.103211029,6.0482472767637185
1974-09-30,10.593110106,4.848944316750425
1974-10-31,10.561468061,-0.29870401311204997
1974-11-30,10.985727169,4.017046735828789
1974-12-31,11.496042915,4.6452614210193754
1975-01-31,11.624378564,1.1163462936672586
1975-02-28,11.784135357,1.374325449919156
1975-03-31,11.573788456,-1.785000720269636
1975-04-30,11.698351766,1.0762535575412624
1975-05-31,10.926931315,-6.594266153305894
1975-06-30,10.432971739,-4.5205699730345605
1975-07-31,9.76743143,-6.3792016852888604
1975-08-31,8.920589927,-8.6700532178704
1975-09-30,8.520421165,-4.485900206989745
1975-10-31,8.109587525,-4.821752728463857
1975-11-30,8.092959791,-0.20503797448070404
1975-12-31,7.685189103,-5.038585369637849
1976-01-31,7.691042386,0.07616316165486303
1976-02-29,7.373666255,-4.126568481506743
1976-03-31,7.334813689,-0.5269097441676918
1976-04-30,6.847460223,-6.644387801300022
1976-05-31,6.965887097,1.7295007220665015
1976-06-30,6.871017008,-1.3619240116719444
1976-07-31,7.088593777,3.1665875480539896
1976-08-31,7.352526572,3.7233449017260556
1976-09-30,7.092183496,-3.5408654895780045
1976-10-31,6.878373933,-3.0147212508050414
1976-11-30,6.612229044,-3.8692995116640927
1976-12-31,6.196677638,-6.284588801065139
1977-01-31,6.048908185,-2.3846561275647216
1977-02-28,6.05231412,0.05630660766922091
1977-03-31,6.102888398,0.8356188558170885
1977-04-30,6.580655715,7.8285442210703104
1977-05-31,6.741041444,2.437230208448926
1977-06-30,6.920217354,2.6579855870709546
1977-07-31,6.881150829,-0.5645274274140966
1977-08-31,6.832672177,-0.7045137245893618
1977-09-30,6.873489359,0.5973824141219275
1977-10-31,6.950144555,1.1152297180707649
1977-11-30,6.999499128,0.7101229709602919
1977-12-31,7.363992642,5.207422807468065
1978-01-31,7.371987718,0.1085698531853474
1978-02-28,7.341035476,-0.4198629078616678
1978-03-31,7.433603181,1.2609625073006558
1978-04-30,7.413807475,-0.2663002788553026
1978-05-31,7.643491412,3.0980564005002043
1978-06-30,7.679164103,0.46670675843234477
